YEAR,MAKE,MODEL,CONDITION,TRANSMISSION,CYLINDERS,FUEL,ODOMETER,ENGINE POWER,MILAGE,Price
2008,nissan,altima 3.5 se,Excellent,Manual,6,gas,140405,Avg CC,46,0
2000,mazda,626,salvage,Automatic,6,gas,175608,Low CC,36,0
2011,nissan,frontier,Excellent,Automatic,6,gas,80900,Avg CC,23,0
2013,lexus,es 350,Excellent,Automatic,6,gas,47268,High CC,32,0
2001,toyota,camry,salvage,Automatic,4,gas,317000,Avg CC,16,0
2014,ford,f250,Excellent,Automatic,8,diesel,140012,High CC,23,1
2010,ford,fusion,Excellent,Automatic,4,gas,159129,Avg CC,24,0
2009,nissan,rogue,Excellent,Manual,4,gas,140581,Avg CC,22,0
2005,chevrolet,trailblazer,Excellent,Manual,6,gas,140000,Avg CC,7,0
2004,mazda,3,Excellent,Automatic,4,gas,138282,Low CC,37,0
2005,toyota,camry,Excellent,Manual,4,gas,213935,Low CC,7,0
2007,chrysler,300 limited awd 3.5,Excellent,Automatic,6,gas,71000,Avg CC,36,0
2018,honda,cr-v,Excellent,Automatic,4,gas,12365,Avg CC,8,0
2013,dodge,durango,Excellent,Automatic,6,gas,74749,Low CC,33,0
2008,toyota,avalon limited,Excellent,Automatic,6,gas,178250,High CC,18,0
2009,honda,civic,Excellent,Automatic,4,gas,263730,Low CC,40,0
2010,chevrolet,suburban,Excellent,Manual,8,gas,143443,Low CC,34,0
2007,chevrolet,uplander ls,Excellent,Manual,6,gas,108630,Avg CC,50,0
2009,mercedes-benz,benz e350,Excellent,Automatic,6,gas,129800,Avg CC,38,0
2014,cadillac,escalade,Excellent,Manual,8,gas,111138,High CC,28,1
2006,ford,expedition eddie bauer,Excellent,Automatic,8,gas,187840,Avg CC,42,0
2012,ram,3500,Excellent,Automatic,8,diesel,106966,Avg CC,17,1
2013,lexus,rx 350,Excellent,Automatic,6,gas,66843,High CC,20,0
2002,pontiac,grand prix,Excellent,Manual,6,gas,173745,Low CC,19,0
2013,ford,econoline cargo van,Excellent,Manual,8,gas,89248,High CC,5,0
2016,jeep,compass,Excellent,Automatic,4,gas,26504,High CC,5,0
2007,chevrolet,corvette,Excellent,Automatic,8,gas,28821,Avg CC,27,1
2013,kia,rio,Excellent,Manual,4,gas,45000,Low CC,46,0
2008,toyota,tundra,Excellent,Automatic,8,gas,226000,Low CC,18,0
2014,ford,edge,Excellent,Automatic,6,gas,139363,Avg CC,31,0
2011,volkswagen,jetta,Excellent,Automatic,5,gas,101310,Avg CC,31,0
2005,gmc,sierra 2500hd,Excellent,Automatic,8,diesel,186087,Avg CC,20,0
2008,honda,crv,Excellent,Manual,4,gas,203460,Avg CC,27,0
2004,ford,f-250 sd,Excellent,Manual,8,diesel,135840,Avg CC,27,0
1999,jeep,wrangler,Excellent,Manual,6,gas,80000,Avg CC,29,0
2014,gmc,seirra sle z71,Excellent,Automatic,8,gas,101910,Low CC,11,0
2014,ford,f150,Excellent,Automatic,6,gas,111843,Low CC,14,0
2013,dodge,durango,Excellent,Automatic,6,gas,74749,Low CC,15,0
2004,chevrolet,silverado 1500,Excellent,Automatic,8,gas,121841,Avg CC,11,0
2004,infiniti,g,Excellent,Manual,6,gas,132000,Low CC,45,0
2011,jeep,compass 4wd,Excellent,Manual,4,gas,49937,Low CC,42,0
2010,ford,taurus sho,Excellent,Automatic,6,gas,144000,Low CC,47,0
2003,bmw,745i,salvage,Automatic,8,gas,179,High CC,35,0
2014,dodge,challenger,salvage,Automatic,8,gas,126000,Low CC,48,0
2009,nissan,versa,Excellent,Automatic,4,gas,78693,Avg CC,27,0
1997,toyota,rav4,Excellent,Automatic,4,gas,204500,High CC,28,0
2008,ford,f250,Excellent,Automatic,8,diesel,154048,Low CC,34,0
2007,toyota,camry se,Excellent,Automatic,4,gas,197000,Avg CC,49,0
2012,hyundai,accent,Excellent,Automatic,4,gas,130000,Low CC,41,0
2008,ford,super duty f-350 srw,Excellent,Automatic,8,gas,237518,Low CC,7,0
2014,dodge,grand caravan,Excellent,Manual,6,gas,68110,Avg CC,33,0
2008,toyota,corolla,Excellent,Automatic,4,gas,68585,Avg CC,26,0
1998,chevrolet,s10,Excellent,Automatic,6,gas,120477,Avg CC,38,0
2014,honda,accord sport,Excellent,Automatic,4,gas,85746,Low CC,46,0
2013,chevrolet,silverado crew,Excellent,Automatic,8,gas,62656,Low CC,16,0
2012,chevrolet,impala,Excellent,Manual,6,gas,77732,Avg CC,42,0
2014,ford,escape titanium,Excellent,Manual,4,gas,44974,Avg CC,39,0
2006,ford,f-350 sd xl 4wd,Excellent,Manual,8,diesel,57000,Low CC,48,1
2006,toyota,highlander,Excellent,Manual,6,gas,232000,Low CC,39,0
2014,chrysler,300,Excellent,Automatic,6,gas,52513,Low CC,7,0
2009,honda,cr-v ex-l 4x4,Excellent,Automatic,4,gas,127789,High CC,21,0
2011,mercedes-benz,c300 4matic sport,Excellent,Automatic,6,gas,52101,Avg CC,43,0
2017,ford,focus,Excellent,Automatic,4,gas,29000,High CC,44,0
2009,ford,crown victoria,Excellent,Automatic,8,gas,100000,Avg CC,12,0
2010,infiniti,g37 convertible,Excellent,Automatic,6,gas,135000,Low CC,30,0
2012,kia,sorento,Excellent,Automatic,4,gas,123866,Low CC,18,0
2011,volkswagen,golf gti 6 speed,Excellent,Manual,4,gas,114165,High CC,49,0
2017,hyundai,elantra,Excellent,Manual,4,gas,23016,Avg CC,25,0
2013,mercedes-benz,e-class,Excellent,Automatic,6,gas,121971,Avg CC,47,0
2008,dodge,grand caravan,Excellent,Automatic,6,gas,103000,Avg CC,44,0
2009,hyundai,sonata,Excellent,Automatic,4,gas,132000,Avg CC,11,0
2009,hyundai,elantra touring,Excellent,Manual,4,gas,117293,Avg CC,19,0
2014,ram,2500,Excellent,Manual,6,gas,80717,Avg CC,10,1
2001,gmc,sierra 1500 crew cab hd 4wd,Excellent,Automatic,8,gas,160600,Avg CC,37,0
2009,volkswagen,rabbit,Excellent,Manual,5,gas,104197,Low CC,37,0
2014,chrysler,300,Excellent,Automatic,6,gas,33104,Avg CC,21,0
2016,ford,taurus,Excellent,Automatic,6,gas,68000,Low CC,44,0
2006,ford,freestyle sel,Excellent,Automatic,6,gas,155000,High CC,45,0
2010,mercedes-benz,gl-class,Excellent,Manual,8,gas,121527,High CC,29,0
2017,mercedes-benz,gla 250,Excellent,Manual,4,gas,38197,Low CC,30,1
2007,honda,odyssey,Excellent,Automatic,6,gas,219000,Avg CC,49,0
2004,chevrolet,trail blazer,Excellent,Manual,6,gas,120030,Low CC,5,0
2016,kia,sorento,Excellent,Manual,6,gas,76903,Avg CC,49,0
2011,nissan,murano,Excellent,Automatic,6,gas,81551,Low CC,43,0
2003,ford,focus,Excellent,Automatic,4,gas,109840,High CC,25,0
2011,nissan,juke,Excellent,Manual,4,gas,101500,High CC,8,0
2000,jeep,wrangler,Excellent,Automatic,6,gas,133438,Low CC,11,0
2015,honda,fit,Excellent,Manual,4,gas,36499,Low CC,40,0
2011,jeep,patriot,Excellent,Automatic,4,gas,102167,Avg CC,33,0
2014,ram,1500,Excellent,Manual,6,gas,79663,Avg CC,38,0
2015,infiniti,qx 60,Excellent,Automatic,6,gas,99196,Avg CC,39,0
2005,ford,f150 lariat super cab,Excellent,Automatic,8,gas,65724,Avg CC,21,0
2005,chevrolet,astro,Excellent,Manual,6,gas,155072,Avg CC,43,0
2007,subaru,impreza wrx sti limited,Excellent,Automatic,4,gas,100206,Low CC,27,0
2008,ford,mustang,Excellent,Automatic,6,gas,98673,Low CC,5,0
2015,honda,civic coupe,Excellent,Manual,4,gas,48656,Avg CC,17,0
2004,acura,tsx,Excellent,Automatic,4,gas,136000,Low CC,27,0
2010,ford,f-150,Excellent,Automatic,8,gas,132998,Avg CC,50,0
2013,dodge,dart,Excellent,Automatic,4,gas,68127,High CC,31,0
2014,chevrolet,camaro 2lt convertible,Excellent,Automatic,6,gas,40000,High CC,24,0
2015,mercedes-benz,benz ml400 4matic,Excellent,Automatic,6,gas,66480,Low CC,19,1
2016,audi,q5 2.0t premium plus,Excellent,Manual,4,gas,37800,Low CC,7,1
1961,chevrolet,impala,Excellent,Automatic,8,gas,82792,Avg CC,23,2
1969,ford,f100,Excellent,Automatic,8,gas,1000,Low CC,50,0
2009,dodge,grand cravan,Excellent,Automatic,6,gas,95302,Avg CC,37,0
2014,nissan,maxima,Excellent,Manual,6,gas,54428,Low CC,38,0
2002,bmw,525i,Excellent,Manual,6,gas,140005,Avg CC,39,0
2008,pontiac,g6,Excellent,Manual,6,gas,168280,Avg CC,32,0
1991,gmc,top kick,Excellent,Automatic,8,diesel,180275,Low CC,20,0
2003,chevrolet,silverado,salvage,Manual,6,gas,160371,Low CC,50,0
2015,ford,f-550,Excellent,Manual,8,diesel,183117,Low CC,11,0
2008,infiniti,g35s,Excellent,Automatic,6,gas,151800,High CC,45,0
2013,mini,cooper s,Excellent,Manual,4,gas,63000,Avg CC,11,0
2016,dodge,challenger,Excellent,Manual,6,gas,21946,Low CC,13,0
2007,mercury,mountaineer,Excellent,Manual,8,gas,145698,High CC,13,0
2012,ford,explorer,Excellent,Automatic,6,gas,105806,High CC,47,0
2017,ford,escape,Excellent,Manual,4,gas,92716,Avg CC,29,0
2004,gmc,sierra 1500,Excellent,Automatic,8,gas,144897,Avg CC,17,0
2001,chevrolet,silverado 2500hd,Excellent,Automatic,8,diesel,140000,Low CC,44,0
1972,chevrolet,c-20,Excellent,Manual,8,gas,144000,High CC,24,0
2008,ford,f150,Excellent,Manual,6,gas,89000,Low CC,37,0
2000,nissan,quest gle,Excellent,Manual,6,gas,273495,Avg CC,26,0
2004,chevrolet,silverado 3500,Excellent,Manual,8,diesel,144657,High CC,46,0
2012,audi,q7 quattro,Excellent,Manual,6,diesel,123000,Avg CC,16,0
2009,honda,cr-v,Excellent,Manual,4,gas,122211,Avg CC,11,0
2013,chevrolet,impala,Excellent,Automatic,6,gas,78000,High CC,8,0
2011,ford,explorer,Excellent,Automatic,6,gas,40976,Low CC,34,0
2012,ram,slt hemi,Excellent,Automatic,8,gas,108150,Low CC,12,0
2017,lincoln,mkx,Excellent,Automatic,6,gas,43938,High CC,19,1
2010,dodge,challenger,Excellent,Manual,8,gas,44718,High CC,10,0
2008,acura,tl type s,Excellent,Automatic,6,gas,211014,High CC,32,0
2002,toyota,sienna,Excellent,Manual,6,gas,102943,High CC,37,0
2013,toyota,highlander,Excellent,Manual,6,gas,89108,Avg CC,34,0
2013,kia,soul +,Excellent,Automatic,4,gas,75364,High CC,7,0
2014,chevrolet,cruze,Excellent,Automatic,4,gas,77000,Avg CC,29,0
2013,ford,f-150,Excellent,Automatic,8,gas,67808,High CC,10,1
2015,ford,f-150 xlt,Excellent,Manual,6,gas,91234,Avg CC,29,0
2002,ford,f150,Excellent,Automatic,8,gas,217000,Avg CC,29,0
2014,ram,2500,Excellent,Automatic,6,diesel,138183,High CC,50,1
2015,chevrolet,cruze,Excellent,Manual,4,gas,48000,High CC,8,0
2002,volkswagen,beetle,Excellent,Manual,4,gas,97752,Avg CC,42,0
2005,acura,rsx,Excellent,Automatic,4,gas,174133,Avg CC,30,0
2014,jeep,grand cherokee,Excellent,Automatic,8,gas,74164,Low CC,15,0
2012,chevrolet,silverado,Excellent,Automatic,8,gas,71174,High CC,14,0
2009,chevrolet,silverado 1500,Excellent,Automatic,8,gas,117004,Avg CC,18,0
1997,ford,windstar,Excellent,Automatic,6,gas,210000,Avg CC,49,0
2018,infiniti,qx60,Excellent,Automatic,6,gas,12525,Avg CC,42,0
2012,mercedes-benz,gl-class,Excellent,Manual,8,gas,114249,Avg CC,25,0
2010,toyota,yaris,Excellent,Automatic,4,gas,72960,Avg CC,23,0
2006,toyota,4runner sr5,Excellent,Automatic,8,gas,196900,Avg CC,46,0
2015,ford,fusion se,Excellent,Manual,4,gas,84500,Avg CC,44,0
2016,ford,escape se,Excellent,Manual,4,gas,128000,Low CC,23,0
2017,ford,transit,Excellent,Automatic,6,gas,51406,Low CC,7,1
2007,hyundai,tucson,Excellent,Automatic,4,gas,181295,High CC,14,0
2015,ford,f150,Excellent,Automatic,6,gas,60950,Avg CC,5,1
1979,ford,150 econoline van,salvage,Manual,8,gas,67946,Avg CC,8,0
2008,bmw,5 series535xi wagon awd,Excellent,Automatic,6,gas,77000,Avg CC,27,0
2003,chevrolet,suburban,Excellent,Manual,8,gas,188000,Avg CC,7,0
2009,chrysler,pt cruiser,Excellent,Manual,4,gas,126008,High CC,21,0
2013,chrysler,town country,Excellent,Automatic,6,gas,117083,Low CC,43,0
1977,ford,thunderbird,Excellent,Manual,8,gas,47138,Avg CC,38,0
2012,kia,soul,Excellent,Automatic,4,gas,83000,High CC,46,0
2005,gmc,2005 envoy slt,Excellent,Automatic,6,gas,108079,Low CC,32,0
2013,ford,f-150,Excellent,Automatic,6,gas,126000,High CC,45,0
2003,lexus,es300,Excellent,Manual,6,gas,167000,High CC,14,0
2007,ford,mustang shelby gt,Excellent,Automatic,8,gas,19158,High CC,32,1
2015,ford,f-150,Excellent,Automatic,6,gas,46244,Avg CC,23,1
2016,dodge,grand caravan,Excellent,Automatic,6,gas,46155,High CC,42,1
2012,ford,f450,Excellent,Automatic,8,diesel,266001,Avg CC,20,0
2018,chevrolet,express g2500,Excellent,Manual,6,gas,25423,Low CC,22,0
2015,chevrolet,malibu,Excellent,Automatic,4,gas,85139,Low CC,14,0
2014,ram,promaster 2500,Excellent,Manual,6,gas,80483,Low CC,7,0
2012,chevrolet,silverado 1500 ls,Excellent,Manual,8,gas,106913,Low CC,50,0
2011,audi,a4 1 owner!!,Excellent,Manual,4,gas,138505,High CC,11,0
2006,jeep,grand cherokee,Excellent,Manual,6,gas,144791,High CC,9,0
2011,ford,f-250 sd,Excellent,Manual,8,gas,123759,Low CC,40,0
2013,nissan,maxima 3.5 sv,Excellent,Manual,6,gas,41760,Low CC,16,0
1999,chevrolet,silverado,Excellent,Manual,8,gas,271000,Low CC,47,0
1998,chevrolet,cavalier,Excellent,Automatic,4,gas,82000,Low CC,5,0
2009,ford,f150,Excellent,Automatic,8,gas,83000,Low CC,7,0
2006,lexus,sc430,Excellent,Automatic,8,gas,42360,Avg CC,20,0
2003,ford,f-150,Excellent,Manual,8,gas,119475,High CC,41,0
2007,chevrolet,colorado,Excellent,Automatic,5,gas,223000,Low CC,20,0
2012,toyota,highlander,Excellent,Automatic,6,gas,123285,High CC,21,0
1991,chevrolet,corvette,Excellent,Automatic,8,gas,54000,Low CC,23,1
2001,honda,civic lx,Excellent,Manual,4,gas,227000,Avg CC,17,0
2015,mazda,cx-5,Excellent,Manual,4,gas,97272,Avg CC,38,0
2016,lincoln,mkc,Excellent,Automatic,4,gas,55828,Low CC,32,0
2008,gmc,sierra slt,Excellent,Automatic,8,gas,105000,Low CC,49,0
2015,chevrolet,cruze lt,Excellent,Automatic,4,gas,69822,Low CC,44,0
2002,dodge,durango sport,Excellent,Automatic,8,gas,240101,Avg CC,48,0
2008,ford,focus,Excellent,Automatic,4,gas,121000,Low CC,27,0
1981,chevrolet,1 ton,Excellent,Manual,8,gas,89000,Low CC,38,0
2005,gmc,yukon xl,Excellent,Automatic,8,gas,154546,Low CC,32,0
2016,volkswagen,golf gti autobahn,Excellent,Automatic,4,gas,58000,High CC,39,0
2010,gmc,yukon xl,Excellent,Automatic,8,gas,216400,Low CC,44,0
1983,jeep,cj5,Excellent,Manual,6,gas,6134,Avg CC,20,0
2006,honda,odyssey,Excellent,Manual,6,gas,195000,Low CC,28,0
2002,volvo,s60,Excellent,Manual,5,gas,139106,Avg CC,9,0
2004,jeep,grand cherokee loredo,salvage,Manual,6,gas,130000,High CC,18,0
2012,ford,escape,Excellent,Automatic,4,gas,99432,Low CC,48,0
2012,ford,escape,Excellent,Manual,4,gas,154665,Avg CC,50,0
2014,ford,focus se,Excellent,Automatic,4,gas,81051,Low CC,20,0
2005,dodge,dakota,Excellent,Automatic,8,gas,40933,Avg CC,10,0
2010,jeep,grand cherokee,Excellent,Automatic,6,gas,104200,Low CC,33,0
2018,dodge,journey,Excellent,Manual,6,gas,2400,High CC,15,0
2008,rover,lr3,Excellent,Automatic,8,gas,121121,Low CC,49,0
2009,toyota,rav4,Excellent,Manual,4,gas,232655,Avg CC,39,0
2016,ford,f-150,Excellent,Manual,8,gas,53252,Avg CC,29,1
2008,toyota,tundra,Excellent,Manual,8,gas,142768,Low CC,15,0
2015,chevrolet,silverado 2500hd,Excellent,Automatic,8,diesel,140543,Avg CC,38,1
2015,ford,f-350 sd,Excellent,Automatic,8,gas,138736,Low CC,8,0
2011,chevrolet,silverado 1500,Excellent,Automatic,8,gas,153000,Low CC,6,0
2011,toyota,rav-4 4x4,Excellent,Automatic,4,gas,108492,High CC,22,0
2012,ram,2500,Excellent,Manual,8,gas,118524,Avg CC,45,0
2015,toyota,tacoma trd sport,Excellent,Manual,6,gas,92329,High CC,38,0
2012,chevrolet,silverado 2500hd,Excellent,Manual,8,gas,159000,Avg CC,9,0
1996,mercedes-benz,sl 320,Excellent,Manual,6,gas,136500,Low CC,8,0
2013,chevrolet,malibu,Excellent,Automatic,4,gas,67461,Low CC,37,0
2013,nissan,murano sl awd,Excellent,Automatic,6,gas,102604,Avg CC,14,0
2013,ford,f-450 sd,Excellent,Automatic,8,diesel,85025,Avg CC,34,1
2017,jeep,wrangler,Excellent,Manual,6,gas,40017,Low CC,18,0
2000,chevrolet,s10 pickup,Excellent,Manual,4,gas,106300,Avg CC,33,0
2006,chevrolet,silverado ls,Excellent,Automatic,6,gas,138690,Avg CC,19,0
2015,nissan,altima 2.5 s,Excellent,Manual,4,gas,75277,Low CC,42,0
2008,ford,expedition,Excellent,Automatic,8,gas,211884,Avg CC,40,0
2006,nissan,xterra,Excellent,Automatic,6,gas,129000,Low CC,42,0
2013,kia,optima lx,Excellent,Manual,4,gas,159932,Avg CC,9,0
2013,dodge,charger,Excellent,Automatic,6,gas,67218,Low CC,25,0
2012,jeep,wrangler unlimited sport,Excellent,Automatic,6,gas,55700,Avg CC,45,1
2005,jeep,grand cherokee,Excellent,Automatic,6,gas,97000,Avg CC,16,0
2012,ford,expedition,Excellent,Manual,8,gas,123140,Low CC,22,0
2008,hyundai,santa fe,Excellent,Manual,6,gas,136001,Avg CC,27,0
2010,chevrolet,aveo,Excellent,Automatic,4,gas,61390,Avg CC,22,0
2013,chevrolet,cruze lt,Excellent,Automatic,4,gas,59916,High CC,22,0
2007,jeep,grand cherokee laredo 4x4,Excellent,Manual,6,gas,155150,Low CC,18,0
2003,chevrolet,suburban lt 4x4,Excellent,Manual,8,gas,213000,Avg CC,5,0
2017,ram,1500,Excellent,Manual,8,gas,35695,Avg CC,18,1
2015,audi,s5 cabriolet,Excellent,Manual,6,gas,4000,Low CC,27,2
1999,chevrolet,silverado ls,salvage,Automatic,8,gas,213310,High CC,50,0
2014,chrysler,200,Excellent,Automatic,6,gas,73419,Avg CC,5,0
2015,lincoln,mks,Excellent,Automatic,6,gas,35059,Avg CC,35,0
2009,acura,rdx,Excellent,Automatic,4,gas,117000,Low CC,49,0
2008,honda,pilot,Excellent,Manual,6,gas,192908,Low CC,37,0
2012,jeep,grand cherokee laredo,Excellent,Manual,6,gas,142000,Low CC,44,0
1999,nissan,altima gxe sedan,Excellent,Manual,4,gas,174215,Avg CC,8,0
2004,ford,explorer sport trac,Excellent,Automatic,6,gas,157980,High CC,38,0
2005,gmc,sierra 2500hd,Excellent,Automatic,8,gas,140554,Low CC,28,0
2014,jeep,grand cherokee limited,Excellent,Manual,6,gas,108319,Avg CC,22,0
2012,audi,s5,Excellent,Manual,8,gas,37000,High CC,44,0
2004,nissan,xterra xe 4wd 3.3 v6,salvage,Automatic,6,gas,162532,Avg CC,20,0
2019,ford,f150,Excellent,Manual,8,gas,13058,High CC,25,1
2009,chrysler,town and country,Excellent,Automatic,6,gas,140000,Avg CC,34,0
2016,ford,f150,Excellent,Automatic,6,gas,79586,Low CC,23,1
2010,ford,edge,Excellent,Manual,6,gas,109817,Avg CC,44,0
2015,fiat,500,Excellent,Manual,4,gas,66964,Avg CC,9,0
2018,chrysler,pacifica,Excellent,Manual,6,gas,47211,High CC,36,1
2003,lincoln,town car executive,Excellent,Automatic,8,gas,193038,Avg CC,32,0
2015,chrysler,200,Excellent,Automatic,4,gas,81279,Avg CC,27,0
2017,honda,pilot,Excellent,Manual,6,gas,43000,High CC,31,1
2015,gmc,sierra 3500hd,Excellent,Automatic,8,diesel,50000,Avg CC,8,1
2002,chevrolet,suburban z71,Excellent,Manual,8,gas,268000,High CC,34,0
1989,toyota,camry 1989,Excellent,Automatic,4,gas,125123,High CC,27,0
2016,chevrolet,impala,Excellent,Manual,6,gas,59510,Avg CC,15,0
2011,kia,sorento lx,Excellent,Automatic,4,gas,187740,Low CC,47,0
2015,nissan,altima,Excellent,Automatic,4,gas,73735,High CC,11,0
2014,subaru,forester 2.5i premium,Excellent,Automatic,4,gas,93602,High CC,7,0
2018,ford,f150 super crew,Excellent,Automatic,6,gas,5360,Low CC,38,1
2014,jeep,wrangler unlimited sahara,Excellent,Manual,6,gas,58931,Low CC,29,1
2013,honda,accord camry,Excellent,Automatic,6,gas,79395,Low CC,24,0
2017,ford,f-250sd,Excellent,Manual,8,diesel,66864,Avg CC,8,1
2005,nissan,frontier,Excellent,Manual,6,gas,153000,Low CC,18,0
2004,chrysler,sebring,Excellent,Automatic,6,gas,80000,Avg CC,14,0
2011,dodge,nitro heat 4x4,Excellent,Manual,6,gas,109000,Low CC,12,0
2010,ford,f-150 x-cab,Excellent,Automatic,8,gas,154081,Avg CC,38,0
2017,nissan,sentra sv,Excellent,Automatic,4,gas,15750,Avg CC,31,0
2014,ford,mustang,Excellent,Automatic,6,gas,67902,Avg CC,27,0
2013,chevrolet,express cargo van,Excellent,Automatic,8,gas,131658,Avg CC,39,0
2014,ford,escape,Excellent,Automatic,4,gas,57770,Low CC,39,0
2018,nissan,nv1500 cargo van,Excellent,Automatic,6,gas,7443,Low CC,6,0
2008,nissan,altima,Excellent,Automatic,4,gas,139500,Low CC,26,0
2003,chevrolet,monte carlo,Excellent,Manual,6,gas,126494,Low CC,49,0
2014,audi,s5,Excellent,Manual,6,gas,8000,Avg CC,8,1
2016,nissan,altima,Excellent,Automatic,4,gas,36023,Low CC,49,0
1927,ford,pickup,Excellent,Automatic,4,gas,80,Avg CC,6,1
2014,dodge,durango,Excellent,Automatic,6,gas,102037,Avg CC,12,0
2007,mercury,mariner,Excellent,Manual,6,gas,124000,High CC,13,0
2013,chevrolet,impala ltz,Excellent,Automatic,6,gas,35118,Low CC,31,0
2007,lincoln,mkx,Excellent,Automatic,6,gas,84300,Avg CC,22,0
2012,buick,enclave,Excellent,Automatic,6,gas,95319,Low CC,9,0
2011,infiniti,g37 journey coupe,Excellent,Automatic,6,gas,40000,Avg CC,49,0
2015,ford,edge,Excellent,Manual,4,gas,41869,Avg CC,8,0
2011,bmw,3-series,Excellent,Automatic,6,gas,88721,High CC,45,0
2019,ford,transit wagon,Excellent,Manual,6,gas,2750,Avg CC,6,1
2016,volkswagen,passat,Excellent,Automatic,4,gas,84330,High CC,21,0
2010,toyota,camry se,Excellent,Automatic,6,gas,124099,Avg CC,48,0
2013,hyundai,azera,Excellent,Automatic,6,gas,72863,Avg CC,38,0
2013,ford,f350 4wd,Excellent,Automatic,8,diesel,55422,Avg CC,21,1
2011,nissan,juke,Excellent,Automatic,4,gas,87683,Low CC,38,0
2009,ford,escape,Excellent,Manual,4,gas,101866,Low CC,25,0
2003,ram,2500,Excellent,Automatic,6,diesel,149800,Low CC,28,0
2012,jeep,grand cherokee overland,Excellent,Automatic,8,gas,119731,High CC,43,0
2011,ford,f 150,Excellent,Manual,8,gas,123799,High CC,19,0
2013,ford,fusion se,Excellent,Manual,4,gas,131290,High CC,26,0
2012,subaru,outback premium,Excellent,Automatic,4,gas,133628,High CC,25,0
2008,mazda,3,Excellent,Automatic,4,gas,156214,Avg CC,16,0
2006,ford,f-750,Excellent,Manual,6,diesel,38178,Avg CC,22,0
